Kepolisian Daerah,penyelesaian_pidana_persen_2021,penyelesaian_pidana_persen_2020,penyelesaian_pidana_persen_2019,penyelesaian_pidana_persen_2018,penyelesaian_pidana_persen_2017,penyelesaian_pidana_persen_2016,penyelesaian_pidana_persen_2015,penyelesaian_pidana_persen_2014,penyelesaian_pidana_persen_2013,penyelesaian_pidana_persen_2012,penyelesaian_pidana_persen_2011,penyelesaian_pidana_persen_2010,penyelesaian_pidana_persen_2009,penyelesaian_pidana_persen_2008,penyelesaian_pidana_persen_2007,penyelesaian_pidana_persen_2006,penyelesaian_pidana_persen_2005,penyelesaian_pidana_persen_2004,penyelesaian_pidana_persen_2003,penyelesaian_pidana_persen_2002,penyelesaian_pidana_persen_2001,penyelesaian_pidana_persen_2000
ACEH,56.98,37.91,35.39,38.27,27.19,42.86,31.55,32.92,32.14,42.83,43.14,38.85,46.24,69.94,45.56,32.76,6.24,10.04,13.25,28.24,29.3,26.88
SUMATERA UTARA,68.37,68.7,74.91,68.17,67.3,62.44,58.94,51.68,45.96,42.99,45.62,58.8,94.74,87.68,90.6,63.86,69.82,79.59,72.81,61.85,59.6,51.99
SUMATERA BARAT,100,83.93,54.19,45.27,42.88,43.11,45.78,46.13,46.03,47.58,52.47,47.44,59.12,62.6,63.05,60.2,60.11,57.06,57.05,52.34,49.85,43.73
RIAU,77.34,38.1,44.72,51.66,54.33,53.58,56.15,42.07,45.56,36.71,46.67,34.51,44.93,55.99,56.78,56.67,61.68,58.73,53.79,58.1,52.54,53.65
JAMBI,79.19,85.54,68.79,68.86,65.2,53.6,41.54,40.47,41.58,55.21,39.44,46.99,67.65,70.13,69.66,67.45,66.3,61.74,59.9,58.49,67.98,67.85
SUMATERA SELATAN,74,76.76,69.22,74.82,66.85,43.47,45.01,37.06,34.11,31.17,38.63,37.67,49.28,65.18,51.24,45.92,60.15,54.24,52.71,52.83,68.52,58.82
BENGKULU,46.81,68.35,67.54,83.59,49.72,48.59,44.75,55.24,52.42,77.86,47.4,62.42,43.79,46.78,42.52,49.94,43,52.39,59.28,80.94,68.64,74.81
LAMPUNG,64.32,64.17,75.44,71.84,68.88,69.25,69.57,58.9,11.72,24.25,20.34,64.35,101.5,99.93,101.23,98.83,89.28,67.58,58.34,79.64,88.96,71.46
KEP. BANGKA BELITUNG,69.22,67.48,54.58,55.52,64.84,42.17,44,15.98,17.22,29.06,50.44,51.29,56.42,63.33,60.95,63.92,68.72,-,-,-,-,-
KEP. RIAU,65.7,66.83,63.31,59.75,56.3,42.17,51.33,48.78,52.15,58.16,47.93,39.97,61.56,53.5,59.14,61.56,56.75,-,-,-,-,-
METRO JAYA,97.99,117.45,99.69,88.23,80.75,63.83,69.33,70.3,71.93,61.63,56.99,59.29,51.43,51.47,46.67,37.72,32.53,30.31,32.48,38.51,36.76,56.63
JAWA BARAT,73.06,88.23,83.64,74.96,57.08,46.43,43.04,51.27,42.8,48.77,47.98,53.9,73.85,62.07,61.16,60.61,58.77,55.35,50.78,51.51,54.95,53.33
JAWA TENGAH,70.78,36.35,64.63,76.48,93.83,90.53,78.83,82.5,87.07,82.42,109.41,90.24,78.36,78.27,82.7,75.68,73.49,67.79,70.19,61.09,53.83,59.82
DI YOGYAKARTA,100,95.62,67.76,36.93,39.62,41.05,45.53,39.96,28.27,36.89,52.96,12.83,38.67,47.71,46.04,53.28,51.82,53.34,50.9,37.69,34.58,51.21
JAWA TIMUR,55.35,52.74,44.68,58.74,54.67,63.89,67.56,34.34,47.6,23.5,28.97,48.04,68.67,64.45,76.76,82.83,77.1,75.23,79.43,75.35,70.46,63.18
BANTEN,76.09,73.08,63.01,61.36,61.32,59.41,38.32,34.02,55.58,62.99,60.41,53.89,56.51,52.59,29.87,31.39,46.97,43.64,-,-,-,-
BALI,84.69,90.26,83.26,74.93,79.41,63.73,76.85,75.91,67.14,82.58,65.28,54.64,68.6,71.13,70.88,70.89,63.88,61.57,57.88,58.65,59.77,48.6
NUSA TENGGARA BARAT,59.66,49.27,49,59.08,52.35,81.42,53.7,53.89,54.84,54.55,46.38,45.55,60.35,58.13,56.63,55.75,61.03,43.28,53.74,46.83,60.08,58.2
NUSA TENGGARA TIMUR,33.06,49.27,54.71,70.32,70.98,55.06,62.66,60.82,54.78,65.8,100.85,61.48,65.94,63.45,56.4,65.86,60.92,60.41,57.78,56.3,60.72,57.56
KALIMANTAN BARAT,91.45,101.94,89.3,77.02,72.18,60.36,68.2,54.78,52.03,46.2,6.28,29.95,60.53,57.56,57.57,57.2,59.18,54.7,42.8,41.39,35.24,47.41
KALIMANTAN TENGAH,81.99,78.89,87.19,72.19,85.44,55.5,63.93,72.43,60.24,70.52,57.04,63.83,68.73,68.36,60.96,57.03,73.93,50.74,46.14,45.09,39.32,43.27
KALIMANTAN SELATAN,78.56,82.29,81.32,75.93,76.09,78.57,77.91,70.04,66.5,85.53,56.11,67.02,99.75,89.6,92.14,96.95,81.61,66.13,71.26,72.89,67.36,68.39
KALIMANTAN TIMUR,63.39,89.33,84.31,75.76,69.81,62.07,55.48,53.7,56.78,58.17,53.14,38.35,64,62,63.86,50.9,47.83,51.55,55.83,46.61,61.44,49.5
KALIMANTAN UTARA,86.71,81.48,84.36,69.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,58.04,77.46,63.53,53.74,70.43,73.86,66.07,71.54,67.28,101.72,95.72,52.2,52.43,56.18,56.94,55.81,55.31,60.91,62.11,58.98,51.81,55.54
SULAWESI TENGAH,53.4,68.57,65.36,56.39,46.75,40.46,49.44,43.38,46.46,48.67,47.29,21.11,43.59,43.13,42.2,39.05,37.28,34.78,47.64,42.79,39.41,47.5
SULAWESI SELATAN,64.26,82.97,71.53,53.59,62.07,79.21,76.23,74.93,64.35,66.72,64.55,59.7,72.39,66.16,65.22,65.59,58.87,59.86,63.71,69.66,68.38,59.23
SULAWESI TENGGARA,61.42,26.4,34.46,69.6,69.54,45.87,58.14,53.26,65.31,69.03,69.44,65.15,65,59.96,50.12,7.05,56.6,47.19,44.55,45.93,37.83,63.15
GORONTALO,54.6,70.73,72.58,64.49,91.32,36.97,42.08,44.95,43.59,65.66,55.3,51.72,65.41,77.09,56.46,78.74,73.85,65.38,-,-,-,-
SULAWESI BARAT,75.13,63.5,61.03,56.19,55.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MALUKU,43.71,26.56,44.01,24.25,22.23,21.1,22.95,22.72,34.03,55.56,26.82,14.79,48.64,45.36,46.52,70.07,72.73,45.72,36.9,45.35,52.25,43.4
MALUKU UTARA,58.43,55.29,60.86,56.09,44.61,46.17,39.68,40.48,33.22,70.95,54.9,17.48,18.63,22.32,43.56,42.58,50,-,-,-,-,-
PAPUA BARAT,32.83,31.78,44.21,27.48,68.52,63.62,27.43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,42.45,55.67,51.24,62.41,10.11,41.5,51.49,50.29,48.89,49.38,45.69,50.05,51.27,57.32,60.55,68.21,63.43,56.31,58.99,56.43,88.22,74.23
INDONESIA,71.85,71.49,68.17,64.94,62.99,58.74,58.13,54.26,52.92,52.05,52.37,49.72,64.7,63.91,63.73,60.42,57.01,54.78,56.19,55.89,55.46,56.37
