Provinsi,kepadatan_penduduk_2021,kepadatan_penduduk_2020,kepadatan_penduduk_2019,kepadatan_penduduk_2016,kepadatan_penduduk_2015,kepadatan_penduduk_2014,kepadatan_penduduk_2013,kepadatan_penduduk_2010,kepadatan_penduduk_2009,kepadatan_penduduk_2008,kepadatan_penduduk_2007,kepadatan_penduduk_2006,kepadatan_penduduk_2005,kepadatan_penduduk_2004,kepadatan_penduduk_2003,kepadatan_penduduk_2002,kepadatan_penduduk_2000
ACEH,92,91,93,88,86,85,83,78,77,76,75,78,72,77,81,78,68
SUMATERA UTARA,205,203,200,193,191,189,186,179,182,180,177,172,171,167,162,162,160
SUMATERA BARAT,133,132,130,125,124,122,121,116,114,113,111,108,108,102,104,100,101
RIAU,75,73,80,75,73,71,69,64,60,59,58,54,55,62,59,57,45
JAMBI,72,71,72,69,68,67,66,62,62,61,60,50,58,49,48,47,48
SUMATERA SELATAN,93,92,92,89,88,87,85,82,120,118,116,74,113,71,70,78,68
BENGKULU,102,101,100,96,94,93,91,86,84,83,82,79,79,80,77,84,73
LAMPUNG,262,260,244,237,234,232,229,220,199,196,193,204,188,203,196,195,194
KEP. BANGKA BELITUNG,90,89,91,85,84,82,80,75,69,68,67,66,65,59,61,57,55
KEP. RIAU,258,252,267,247,241,234,227,206,187,180,172,15,158,-,-,-,127
DKI JAKARTA,15978,15907,15900,15478,15328,15173,15015,14518,12459,12355,12245,13499,12012,13006,12985,12623,12592
JAWA BARAT,1379,1365,1394,1339,1320,1301,1282,1222,1124,1108,1092,1146,1060,1109,1100,1074,1010
JAWA TENGAH,1120,1113,1058,1037,1030,1022,1014,989,1002,995,987,989,972,976,987,977,952
DI YOGYAKARTA,1185,1171,1227,1188,1174,1161,1147,1107,1118,1107,1096,1064,1074,1020,1007,993,996
JAWA TIMUR,855,851,831,817,813,808,803,786,798,794,790,764,781,739,756,735,727
BANTEN,1248,1232,1338,1263,1237,1211,1185,1106,1085,1065,1045,1066,1006,1047,1038,996,838
BALI,755,747,750,727,718,710,702,676,652,645,639,609,625,592,596,573,545
NUSA TENGGARA BARAT,290,286,273,264,260,257,254,243,225,221,218,211,211,213,199,206,216
NUSA TENGGARA TIMUR,111,109,112,107,105,103,102,97,100,98,96,92,93,86,86,83,78
KALIMANTAN BARAT,37,37,34,33,33,32,32,30,36,35,35,28,34,29,27,29,27
KALIMANTAN TENGAH,18,17,18,17,16,16,16,14,14,13,13,13,13,14,12,13,12
KALIMANTAN SELATAN,106,105,110,105,103,101,99,94,90,89,87,77,85,73,73,70,77
KALIMANTAN TIMUR,30,29,29,27,27,26,19,17,16,16,16,13,15,12,12,11,12
KALIMANTAN UTARA,9,9,10,9,9,8,-,-,-,-,-,-,-,-,-,-,-
SULAWESI UTARA,190,189,181,176,174,172,170,164,160,158,157,141,154,138,140,134,144
SULAWESI TENGAH,49,48,49,47,47,46,45,43,36,36,35,37,34,37,35,36,35
SULAWESI SELATAN,196,194,189,184,182,180,179,173,171,169,167,87,162,135,132,133,153
SULAWESI TENGGARA,70,69,71,67,66,64,63,59,58,56,55,52,53,53,49,51,48
GORONTALO,105,104,107,102,101,99,98,93,81,80,79,77,77,71,72,70,74
SULAWESI BARAT,86,85,82,78,76,75,74,69,63,61,61,11,59,-,-,-,53
MALUKU,40,39,38,37,36,35,35,33,29,28,27,27,27,26,26,25,25
MALUKU UTARA,41,40,39,37,36,36,35,33,25,24,24,30,23,28,28,24,25
PAPUA BARAT,11,11,9,9,9,9,9,8,6,6,6,22,6,-,-,-,5
PAPUA,14,13,11,10,10,10,10,9,7,7,7,8,6,7,6,6,5
INDONESIA,142,141,140,135,134,132,130,124,124,123,121,118,118,114,114,112,107
